settlement_id,order_ref,merchant,amount,date,narration
RZP2026000000,ORD10000,Bardoli Agro Traders,1612.98,2026-07-18,Payout - order ORD10000 - NEFT
RZP2026000001,ORD10001,Bardoli Agro Traders,30613.13,2026-08-04,UPI settlement for order #ORD10001
RZP2026000002,ORD10002,Bardoli Agro Traders,10229.39,2026-08-02,Txn ORD10002 settled via IMPS
RZP2026000003,ORD10003,Kiran Electronics,32362.87,2026-08-14,Txn ORD10003 settled via IMPS
RZP2026000004,ORD10004,Om Sai Logistics,26722.32,2026-07-01,Payout - order ORD10004 - NEFT
RZP2026000005,ORD10005,Patel Auto Parts,7418.84,2026-07-22,UPI settlement for order #ORD10005
RZP2026000006,ORD10006,Bardoli Agro Traders,16474.58,2026-07-23,Txn ORD10006 settled via IMPS
RZP2026000007,ORD10007,Sharma Textiles Pvt Ltd,32973.06,2026-08-04,UPI settlement for order #ORD10007
RZP2026000008,ORD10008,Vraj Enterprises,4006.61,2026-07-19,Txn ORD10008 settled via IMPS
RZP2026000010,ORD10010,Bardoli Agro Traders,17415.62,2026-07-30,Settlement batch order ORD10010
RZP2026000011,ORD10011,Sunrise Bakery Co,9823.06,2026-07-18,UPI settlement for order #ORD10011
RZP2026000012,ORD10012,Kiran Electronics,7771.41,2026-07-25,Settlement batch order ORD10012
RZP2026000013,ORD10013,Diamond City Exports,10272.88,2026-07-21,UPI settlement for order #ORD10013
RZP2026000014,ORD10014,Sharma Textiles Pvt Ltd,36324.54,2026-07-26,Settlement batch order ORD10014
RZP2026000015,ORD10015,Nova Retail Solutions,39498.36,2026-07-21,Payout - order ORD10015 - NEFT
RZP2026000016,ORD10016,Om Sai Logistics,6857.79,2026-07-09,Payout - order ORD10016 - NEFT
RZP2026000017,ORD10017,Patel Auto Parts,33742.11,2026-07-28,Txn ORD10017 settled via IMPS
RZP2026000018,ORD10018,Om Sai Logistics,4545.47,2026-07-04,UPI settlement for order #ORD10018
RZP2026000019,ORD10019,Surat Silk House,35747.53,2026-07-28,Txn ORD10019 settled via IMPS
RZP2026000020,ORD10020,Vraj Enterprises,27017.04,2026-07-30,Txn ORD10020 settled via IMPS
RZP2026000021,ORD10021,Diamond City Exports,38804.7,2026-07-01,UPI settlement for order #ORD10021
RZP2026000022,ORD10022,Patel Auto Parts,34702.64,2026-07-22,UPI settlement for order #ORD10022
RZP2026000023,ORD10023,Patel Auto Parts,43749.02,2026-07-12,Txn ORD10023 settled via IMPS
RZP2026000024,ORD10024,Surat Silk House,17139.17,2026-07-11,Txn ORD10024 settled via IMPS
RZP2026000025,ORD10025,Diamond City Exports,41372.96,2026-08-08,Settlement batch order ORD10025
RZP2026000026,ORD10026,Bardoli Agro Traders,41844.89,2026-07-20,Payout - order ORD10026 - NEFT
RZP2026000028,ORD10028,Diamond City Exports,34579.63,2026-07-09,Order ORD10028 payment credited
RZP2026000029,ORD10029,Kiran Electronics,41836.65,2026-08-14,Payout - order ORD10029 - NEFT
RZP2026000030,ORD10030,Sunrise Bakery Co,19995.45,2026-08-03,Order ORD10030 payment credited
RZP2026000031,ORD10031,Kiran Electronics,3349.15,2026-07-02,Txn ORD10031 settled via IMPS
RZP2026000032,ORD10032,Sharma Textiles Pvt Ltd,3659.19,2026-08-10,UPI settlement for order #ORD10032
RZP2026000033,ORD10033,Sharma Textiles Pvt Ltd,38753.78,2026-07-05,Txn ORD10033 settled via IMPS
RZP2026000034,ORD10034,Om Sai Logistics,10033.54,2026-07-09,Txn ORD10034 settled via IMPS
RZP2026000035,ORD10035,Om Sai Logistics,36433.62,2026-07-13,UPI settlement for order #ORD10035
RZP2026000036,ORD10036,Vraj Enterprises,16266.24,2026-07-27,Order ORD10036 payment credited
RZP2026000037,ORD10037,Sharma Textiles Pvt Ltd,18416.65,2026-07-22,UPI settlement for order #ORD10037
RZP2026000038,ORD10038,Kiran Electronics,24364.72,2026-07-09,Order ORD10038 payment credited
RZP2026000039,ORD10039,Om Sai Logistics,11616.39,2026-07-05,Order ORD10039 payment credited
RZP2026000041,ORD10041,Bardoli Agro Traders,41723.33,2026-07-16,Payout - order ORD10041 - NEFT
RZP2026000042,ORD10042,Sharma Textiles Pvt Ltd,7826.35,2026-07-01,Order ORD10042 payment credited
RZP2026000043,ORD10043,Om Sai Logistics,13193.59,2026-08-14,Txn ORD10043 settled via IMPS
RZP2026000044,ORD10044,Surat Silk House,8950.46,2026-07-14,UPI settlement for order #ORD10044
RZP2026000045,ORD10045,Sunrise Bakery Co,3043.85,2026-08-07,Order ORD10045 payment credited
RZP2026000047,ORD10047,Bardoli Agro Traders,26979.06,2026-08-13,Payout - order ORD10047 - NEFT
RZP2026000048,ORD10048,Nova Retail Solutions,4148.26,2026-08-12,Txn ORD10048 settled via IMPS
RZP2026000049,ORD10049,Patel Auto Parts,9589.53,2026-08-15,Settlement batch order ORD10049
RZP2026000050,ORD10050,Vraj Enterprises,6324.08,2026-08-11,Settlement batch order ORD10050
RZP2026000051,ORD10051,Bardoli Agro Traders,914.54,2026-08-09,Txn ORD10051 settled via IMPS
RZP2026000052,ORD10052,Bardoli Agro Traders,24424.73,2026-08-02,Settlement batch order ORD10052
RZP2026000053,ORD10053,Sunrise Bakery Co,39698.46,2026-07-16,Settlement batch order ORD10053
RZP2026000054,ORD10054,Patel Auto Parts,27719.66,2026-08-11,Txn ORD10054 settled via IMPS
RZP2026000055,ORD10055,Diamond City Exports,13822.35,2026-08-12,UPI settlement for order #ORD10055
RZP2026000056,ORD10056,Diamond City Exports,7417.43,2026-07-19,Txn ORD10056 settled via IMPS
RZP2026000057,ORD10057,Sunrise Bakery Co,9560.08,2026-08-10,Settlement batch order ORD10057
RZP2026000058,ORD10058,Sharma Textiles Pvt Ltd,4607.28,2026-07-28,Settlement batch order ORD10058
RZP2026000059,ORD10059,Sunrise Bakery Co,34814.81,2026-08-10,Settlement batch order ORD10059
