entry_id,order_ref,merchant,amount,date,narration
LG5000,ORD10000,Bardoli Agro Traders,1612.98,2026-07-18,Payout - order ORD10000 - NEFT
LG5001,ORD10001,Bardoli Agro Traders,30610.72,2026-08-04,UPI settlement for order #ORD10001
LG5002,ORD10002,Bardoli Agro Traders,10229.39,2026-08-02,Txn ORD10002 settled via IMPS
LG5003,10003,Kiran Electronics,32362.87,2026-08-14,Settled - ref 10003
LG5004,ORD10004,Om Sai Logistics,26722.32,2026-06-29,Payout - order ORD10004 - NEFT
LG5005,ORD10005,Patel Auto Parts,7418.84,2026-07-22,UPI settlement for order #ORD10005
LG5006,ORD10006,Bardoli Agro Traders,16474.58,2026-07-23,Txn ORD10006 settled via IMPS
LG5007,ORD10007,Sharma Textiles Pvt Ltd,32973.06,2026-08-04,UPI settlement for order #ORD10007
LG5007DUP,ORD10007,Sharma Textiles Pvt Ltd,32973.06,2026-08-04,UPI settlement for order #ORD10007 (duplicate entry)
LG5008,10008,Sunrise Bakery Co,3855.59,2026-07-17,Payment ref 10008
LG5009,ORD10009,Sharma Textiles Pvt Ltd,29926.22,2026-07-19,UPI settlement for order #ORD10009
LG5010,ORD10010,Bardoli Agro Traders,17415.62,2026-07-30,Settlement batch order ORD10010
LG5011,ORD10011,Sunrise Bakery Co,9818.84,2026-07-18,UPI settlement for order #ORD10011
LG5012,ORD10012,Kiran Electronics,7771.41,2026-07-25,Settlement batch order ORD10012
LG5012DUP,ORD10012,Kiran Electronics,7771.41,2026-07-25,Settlement batch order ORD10012 (duplicate entry)
LG5013,ORD10013,Diamond City Exports,10272.88,2026-07-21,UPI settlement for order #ORD10013
LG5014,ORD10014,Sharma Textiles Pvt Ltd,36324.54,2026-07-26,Settlement batch order ORD10014
LG5015,ORD10015,Nova Retail Solutions,39498.36,2026-07-19,Payout - order ORD10015 - NEFT
LG5016,ORD10016,Om Sai Logistics,6857.79,2026-07-06,Payout - order ORD10016 - NEFT
LG5017,ORD10017,Patel Aut0 Parts,33742.11,2026-07-28,Txn ORD10017 settled via IMPS
LG5018,ORD10018,Om Sai Logistics,4545.47,2026-07-04,UPI settlement for order #ORD10018
LG5019,ORD10019,Surat Silk House,35747.53,2026-07-28,Txn ORD10019 settled via IMPS
LG5020,ORD10020,Vraj Enterprises,27017.04,2026-07-30,Txn ORD10020 settled via IMPS
LG5021,ORD10021,Diamond City Exports,38804.7,2026-06-28,UPI settlement for order #ORD10021
LG5022,ORD10022,Pstel Auto Parts,34702.64,2026-07-22,UPI settlement for order #ORD10022
LG5023,10023,Patel Auto Parts,41318.41,2026-07-10,Payment ref 10023
LG5024,ORD10024,Surat Silk House,17139.17,2026-07-11,Txn ORD10024 settled via IMPS
LG5024DUP,ORD10024,Surat Silk House,17139.17,2026-07-11,Txn ORD10024 settled via IMPS (duplicate entry)
LG5025,10025,Diamond City Exports,41372.96,2026-08-08,Settled - ref 10025
LG5026,ORD10026,Bardoli Agro Traders,41844.89,2026-07-20,Payout - order ORD10026 - NEFT
LG5027,ORD10027,Nova Retail Solutions,42639.25,2026-07-06,Order ORD10027 payment credited
LG5028,10028,Surat Silk House,32812.37,2026-07-06,Payment ref 10028
LG5029,ORD10029,Kiran Electronics,41836.65,2026-08-12,Payout - order ORD10029 - NEFT
LG5030,ORD10030,Sunrise Bakery Co,19995.45,2026-08-03,Order ORD10030 payment credited
LG5031,ORD10031,Kiran Electronics,3339.5,2026-07-02,Txn ORD10031 settled via IMPS
LG5032,ORD10032,Sharma Textiles Pvt Ltd,3659.19,2026-08-10,UPI settlement for order #ORD10032
LG5033,ORD10033,Sharma Textiles Pvt Ltd,38753.78,2026-07-05,Txn ORD10033 settled via IMPS
LG5034,ORD10034,Om Sai Logistics,10028.38,2026-07-09,Txn ORD10034 settled via IMPS
